t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,adc,F_N,tau_Nm,mode
25979.774288437,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25979.778231805,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.782157319,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.786156723,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.79015419,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.794187986,0.0,0.0,0.0,0.0,-19,0,0.0,0.0,RETURN
25979.798159879,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.802195815,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.806194808,0.0,0.0,0.0,0.0,-2,0,0.0,0.0,RETURN
25979.810308692,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.814143662,0.0,0.0,0.0,0.0,-2,0,0.0,0.0,RETURN
25979.818205797,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.822208205,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.826156727,0.0,0.0,0.0,0.0,-22,0,0.0,0.0,RETURN
25979.830256245,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.834153573,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.838270675,0.0,0.0,0.0,0.0,-4,0,0.0,0.0,RETURN
25979.842262668,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.846254109,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.850253509,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.85425219,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.858153459,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.862155709,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.866154774,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.870253924,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.874283452,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.878258817,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.882178458,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.88616878,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.890154873,0.0,0.0,0.0,0.0,7,0,0.0,0.0,RETURN
25979.894244515,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.898174513,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.902261175,0.0,0.0,0.0,0.0,-19,0,0.0,0.0,RETURN
25979.906253144,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.910259845,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.91427646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.918133116,0.0,0.0,0.0,0.0,-24,0,0.0,0.0,RETURN
25979.922154931,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.926153597,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.930153965,0.0,0.0,0.0,0.0,-18,0,0.0,0.0,RETURN
25979.934153828,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.938151886,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.942154619,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.946151615,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.950181799,0.0,0.0,0.0,0.0,-23,0,0.0,0.0,RETURN
25979.954190845,0.0,0.0,0.0,0.0,-31,0,0.0,0.0,RETURN
25979.958284665,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.962263193,0.0,0.0,0.0,0.0,16,0,0.0,0.0,RETURN
25979.966260927,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.970252179,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.974259253,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.978150927,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.982155598,0.0,0.0,0.0,0.0,-5,0,0.0,0.0,RETURN
25979.98625716,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.990153954,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.994257237,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.998156127,0.0,0.0,0.0,0.0,8,0,0.0,0.0,RETURN
25980.002275683,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.006156279,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.010148746,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.014178333,0.0,0.0,0.0,0.0,-2,0,0.0,0.0,RETURN
25980.018152333,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.022150597,0.0,0.0,0.0,0.0,9,0,0.0,0.0,RETURN
25980.026152092,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.030149085,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.034148946,0.0,0.0,0.0,0.0,-26,0,0.0,0.0,RETURN
25980.038269654,0.0,0.0,0.0,0.0,-6,0,0.0,0.0,RETURN
25980.042256473,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.046228691,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.05025175,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25980.054256484,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.058150944,0.0,0.0,0.0,0.0,-2,0,0.0,0.0,RETURN
25980.06219145,0.0,0.0,0.0,0.0,-11,0,0.0,0.0,RETURN
25980.066185768,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.070148891,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.074148775,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.078185059,0.0,0.0,0.0,0.0,9,0,0.0,0.0,RETURN
25980.082288593,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.086279912,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.09030973,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.094200535,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.098155591,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25980.102158223,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.106156396,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.110303472,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.114219636,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.118189844,0.0,0.0,0.0,0.0,-28,0,0.0,0.0,RETURN
25980.122190391,0.0,0.0,0.0,0.0,14,0,0.0,0.0,RETURN
25980.126200349,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.130279593,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.134276971,0.0,0.0,0.0,0.0,-23,0,0.0,0.0,RETURN
25980.138160162,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.142161334,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.146157253,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.150216361,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.154205885,0.0,0.0,0.0,0.0,8,0,0.0,0.0,RETURN
25980.158160452,0.0,0.0,0.0,0.0,-15,0,0.0,0.0,RETURN
25980.162158194,0.0,0.0,0.0,0.0,-5,0,0.0,0.0,RETURN
25980.166188696,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.170201247,0.0,0.0,0.0,0.0,-23,0,0.0,0.0,RETURN
25980.174201562,0.0,0.0,0.0,0.0,11,0,0.0,0.0,RETURN
25980.178158062,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.182158511,0.0,0.0,0.0,0.0,-18,0,0.0,0.0,RETURN
25980.186191197,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.190172874,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25980.194153217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.198271437,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.202261781,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.206150467,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.210149152,0.0,0.0,0.0,0.0,-22,0,0.0,0.0,RETURN
