
t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,emg_phase,emg_raw,emg_ac,emg_rect,emg_env,emg_env_f,mode
5616.077296461,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.08129687,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.085296877,0.02197265625,0.0,0.0,-0.06591796875,-13,NA,0,0,0,0.0,0.0,RELAX
5616.089296196,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.093316081,0.02197265625,0.0,0.0,-0.06591796875,17,NA,0,0,0,0.0,0.0,RELAX
5616.097311971,0.02197265625,0.0,0.0,-0.06591796875,15,NA,0,0,0,0.0,0.0,RELAX
5616.101406637,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5616.105407933,0.02197265625,0.0,0.0,-0.06591796875,6,NA,0,0,0,0.0,0.0,RELAX
5616.109397758,0.02197265625,0.0,0.0,-0.06591796875,3,NA,0,0,0,0.0,0.0,RELAX
5616.113416866,0.02197265625,0.0,0.0,-0.06591796875,13,NA,0,0,0,0.0,0.0,RELAX
5616.117296652,0.02197265625,0.0,0.0,-0.06591796875,29,NA,0,0,0,0.0,0.0,RELAX
5616.1212981,0.02197265625,0.0,0.0,-0.06591796875,1,NA,0,0,0,0.0,0.0,RELAX
5616.125300446,0.02197265625,0.0,0.0,-0.06591796875,4,NA,0,0,0,0.0,0.0,RELAX
5616.12929556,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.133405735,0.02197265625,0.0,0.0,-0.06591796875,-15,NA,0,0,0,0.0,0.0,RELAX
5616.137406252,0.02197265625,0.0,0.0,-0.06591796875,-10,NA,0,0,0,0.0,0.0,RELAX
5616.141409614,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.145408012,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5616.149399056,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.153406595,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.157350912,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.161299085,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.165377959,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.169336373,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.173295153,0.02197265625,0.0,0.0,-0.06591796875,-6,NA,0,0,0,0.0,0.0,RELAX
5616.17734469,0.02197265625,0.0,0.0,-0.06591796875,8,NA,0,0,0,0.0,0.0,RELAX
5616.181348977,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.185338066,0.02197265625,0.0,0.0,-0.06591796875,14,NA,0,0,0,0.0,0.0,RELAX
5616.189306161,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5616.193327742,0.02197265625,0.0,0.0,-0.06591796875,-11,NA,0,0,0,0.0,0.0,RELAX
5616.197325266,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.20134365,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
